series,year,gross_er,net_er,fee,is_etf_ever,aum,is_active,is_levinv
S000003033,2024.0,0.0058,,0.0058,True,203454142.61,False,False
S000003033,2025.0,0.0056,,0.0056,True,392849480.8308334,False,False
S000003034,2011.0,0.0091,0.006,0.006,True,,,
S000003034,2012.0,0.0093,0.006,0.006,True,,,
S000003034,2013.0,0.0096,0.0061,0.0061,True,,,
S000003034,2014.0,0.0092,0.006,0.006,True,,,
S000003034,2015.0,0.0096,0.006,0.006,True,,,
S000003034,2016.0,0.0081,0.006,0.006,True,,,
S000003034,2017.0,0.0085,0.006,0.006,True,,,
S000003034,2018.0,0.0082,0.006,0.006,True,,,
S000003034,2019.0,0.0077,0.006,0.006,True,52667734.0241667,False,False
S000003036,2011.0,0.0058,0.0058,0.0058,True,,,
S000003036,2012.0,0.0056,,0.0056,True,,,
S000003036,2013.0,0.0056,,0.0056,True,,,
S000003036,2014.0,0.0054,,0.0054,True,,,
S000003036,2015.0,0.0055,,0.0055,True,,,
S000003036,2016.0,0.0058,,0.0058,True,,,
S000003036,2017.0,0.0056,,0.0056,True,,,
S000003036,2018.0,0.0055,,0.0055,True,,,
S000003036,2019.0,0.0054,,0.0054,True,758592773.973333,False,False
S000003036,2020.0,0.0053,,0.0053,True,694470630.553333,False,False
S000003036,2021.0,0.0056,,0.0056,True,511029623.178333,False,False
S000003036,2022.0,0.0053,,0.0053,True,645743416.066667,False,False
S000003036,2023.0,0.0053,,0.0053,True,885232753.620833,False,False
S000003036,2024.0,0.0053,,0.0053,True,993300492.63,False,False
S000003036,2025.0,0.0053,,0.0053,True,847290770.7083333,False,False
S000003037,2011.0,0.0061,0.006,0.006,True,,,
S000003037,2012.0,0.006,,0.006,True,,,
S000003037,2013.0,0.0058,,0.0058,True,,,
S000003037,2014.0,0.0055,,0.0055,True,,,
S000003037,2015.0,0.0055,,0.0055,True,,,
S000003037,2016.0,0.0055,,0.0055,True,,,
S000003037,2017.0,0.0055,,0.0055,True,,,
S000003037,2018.0,0.0055,,0.0055,True,,,
S000003037,2019.0,0.0054,,0.0054,True,301354771.594167,False,False
S000003037,2020.0,0.0053,,0.0053,True,300345465.365833,False,False
